"subj"	"block"	"trialN"	"setID"	"RTs"	"cond"	"bsl"	"RTadj"	"RTlog"	"rep"	"day"
"1"	"7"	33	8	1.7203	"RANDREG"	0.32715	1.39315	0.143997879284792	3	"day3"
"1"	"7"	38	12	2.111	"RANDREG"	0.32715	1.78385	0.251358332713241	3	"day3"
"1"	"7"	44	18	1.7042	"RANDREG"	0.32715	1.37705	0.138949709559658	3	"day3"
"1"	"7"	3	38	2.2234	"TARGET"	0.32715	1.89625	0.277895593794787	1	"day3"
"1"	"7"	14	24	1.5876	"TARGET"	0.32715	1.26045	0.100525622598912	1	"day3"
"1"	"7"	23	32	1.8576	"TARGET"	0.32715	1.53045	0.184819145708066	1	"day3"
"1"	"7"	24	38	2.0056	"TARGET"	0.32715	1.67845	0.224908408409455	2	"day3"
"1"	"7"	34	24	2.4294	"TARGET"	0.32715	2.10225	0.322684361151986	2	"day3"
"1"	"7"	56	32	1.9069	"TARGET"	0.32715	1.57975	0.198588364036026	2	"day3"
"1"	"7"	57	38	1.7667	"TARGET"	0.32715	1.43955	0.158226753859451	3	"day3"
"1"	"7"	58	24	1.9969	"TARGET"	0.32715	1.66975	0.222651452136772	3	"day3"
"1"	"7"	60	32	1.8417	"TARGET"	0.32715	1.51455	0.180283615315396	3	"day3"
"2"	"1"	6	18	1.8163	"RANDREG"	0.30355	1.51275	0.179767161604465	1	"day1"
"2"	"1"	7	92	1.5256	"RANDREG"	0.30355	1.22205	0.0870889753663241	1	"day1"
"2"	"1"	12	66	1.6228	"RANDREG"	0.30355	1.31925	0.120327102849161	1	"day1"
"2"	"1"	13	79	2.0311	"RANDREG"	0.30355	1.72755	0.237430625892749	1	"day1"
"2"	"1"	16	83	1.8031	"RANDREG"	0.30355	1.49955	0.175960951163949	1	"day1"
"2"	"1"	20	43	1.6938	"RANDREG"	0.30355	1.39025	0.143092903748938	1	"day1"
"2"	"1"	22	40	1.6081	"RANDREG"	0.30355	1.30455	0.115460729130341	2	"day1"
"2"	"1"	24	54	1.4823	"RANDREG"	0.30355	1.17875	0.0714217057453848	2	"day1"
"2"	"1"	30	95	1.8217	"RANDREG"	0.30355	1.51815	0.181314683913817	2	"day1"
"2"	"1"	32	98	1.6759	"RANDREG"	0.30355	1.37235	0.137464886650482	2	"day1"
"2"	"1"	36	14	1.532	"RANDREG"	0.30355	1.22845	0.0893574846532978	2	"day1"
"2"	"1"	38	36	1.3491	"RANDREG"	0.30355	1.04555	0.019344806359687	3	"day1"
"2"	"1"	40	7	2.1412	"RANDREG"	0.30355	1.83765	0.264262798920034	3	"day1"
"2"	"1"	49	107	2.205	"RANDREG"	0.30355	1.90145	0.279084909810922	3	"day1"
"2"	"1"	50	67	1.8751	"RANDREG"	0.30355	1.57155	0.196328202966489	3	"day1"
"2"	"1"	58	80	1.577	"RANDREG"	0.30355	1.27345	0.104981897748486	3	"day1"
"2"	"1"	59	63	1.8088	"RANDREG"	0.30355	1.50525	0.177608635879186	3	"day1"
"2"	"1"	4	37	1.9146	"TARGET"	0.30355	1.61105	0.20710901924425	1	"day1"
"2"	"1"	5	42	1.6774	"TARGET"	0.30355	1.37385	0.137939318074006	1	"day1"
"2"	"1"	18	1	2.0702	"TARGET"	0.30355	1.76665	0.247150517744047	1	"day1"
"2"	"1"	23	37	1.7348	"TARGET"	0.30355	1.43125	0.155715499683963	2	"day1"
"2"	"1"	28	42	1.6854	"TARGET"	0.30355	1.38185	0.140460902873301	2	"day1"
"2"	"1"	41	1	1.9775	"TARGET"	0.30355	1.67395	0.223742481704795	2	"day1"
"2"	"1"	42	37	1.5979	"TARGET"	0.30355	1.29435	0.112051728044848	3	"day1"
"2"	"2"	6	101	1.7519	"RANDREG"	0.3288	1.4231	0.153235418652295	1	"day1"
"2"	"2"	8	97	1.6075	"RANDREG"	0.3288	1.2787	0.106768665176806	1	"day1"
"2"	"2"	9	90	1.8345	"RANDREG"	0.3288	1.5057	0.177738450401719	1	"day1"
"2"	"2"	12	6	2.019	"RANDREG"	0.3288	1.6902	0.227938097369417	1	"day1"
"2"	"2"	21	37	1.9729	"RANDREG"	0.3288	1.6441	0.215928229339918	1	"day1"
"2"	"2"	29	105	1.9906	"RANDREG"	0.3288	1.6618	0.220578754632829	1	"day1"
"2"	"2"	35	68	1.8903	"RANDREG"	0.3288	1.5615	0.193541988566217	2	"day1"
"2"	"2"	36	44	1.6928	"RANDREG"	0.3288	1.364	0.13481437032046	2	"day1"
"2"	"2"	37	12	1.8821	"RANDREG"	0.3288	1.5533	0.191255342246265	2	"day1"
"2"	"2"	46	30	1.7366	"RANDREG"	0.3288	1.4078	0.148540960867229	2	"day1"
"2"	"2"	47	87	1.7274	"RANDREG"	0.3288	1.3986	0.14569352390422	3	"day1"
